class,precision,recall,f1,support
walk,0.593361,0.135674,0.220849,1054
upstairs,0.985915,0.976744,0.981308,645
downstairs,0.982107,0.974359,0.978218,507
sit,0.737154,0.301049,0.427507,1239
stand,0.727144,0.947490,0.822820,4323
lay,0,0,0,0
unknown,0.873330,0.934783,0.903012,3496
