class,precision,recall,f1,support
walk,0.699438,0.682192,0.690707,365
upstairs,0.602305,0.694352,0.645062,301
downstairs,0.966805,0.850365,0.904854,274
sit,0.592145,0.566474,0.579025,346
stand,0.648199,0.639344,0.643741,366
lay,0.862694,0.900000,0.880952,370
unknown,0,0,0,0
