,walk,upstairs,downstairs,sit,stand,lay,unknown
walk,2641,1179,2551,1,0,0,3365
upstairs,1255,3432,1507,2,0,0,1608
downstairs,785,1884,3812,1,0,0,664
sit,1,0,1,2000,427,0,6362
stand,6,7,61,307,1995,0,6366
lay,0,0,0,0,0,0,0
unknown,841,809,1491,232,94,0,13416
