,walk,upstairs,downstairs,sit,stand,lay,unknown
walk,249,110,6,0,0,0,0
upstairs,90,209,2,0,0,0,0
downstairs,17,24,233,0,0,0,0
sit,0,0,0,196,117,33,0
stand,0,0,0,112,234,20,0
lay,0,4,0,23,10,333,0
unknown,0,0,0,0,0,0,0
