class,precision,recall,f1,support
walk,0.332037,0.064897,0.108573,42113
upstairs,0.188697,0.372434,0.250484,33853
downstairs,0.367925,0.018855,0.035872,31026
sit,0.292089,0.527743,0.376048,37073
stand,0.278713,0.223090,0.247819,34820
lay,0.000000,0.000000,0.000000,0
unknown,0.670782,0.013703,0.026857,71372
